,Project Title,University,Description,field,Tuition,Rate,City,Duration,State,County,LATITUDE,LONGITUDE,PostPhdSalary,PostPhdEmploy,World Rank,USA Rank,Glassdoor Star,Salary_high,Salary_low,Salary/Stipend,State Avg Salary/Stipend,Required Income,Food,Housing,Transportation,Medical,Enough Income
0,Agronomy,Mississippi State University,Graduate study offered in the Department of Plant and Soil Sciences leads to the Master of Science or the Doctor of Philosophy degree in Plant and Soil Sciences with a concentration in Agronomy from Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
1,Animal Nutrition,Mississippi State University,The graduate program in Animal Nutrition from Mississippi State University is an interdepartmental curriculum leading to a Master of Science in Agriculture with a concentration in Animal Nutrition or a Doctor of Philosophy in Agricultural Sciences with a concentration in Animal Nutrition.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
2,Plant Pathology,The University of Arizona,"The Plant Pathology program from The University of Arizona provides broad training in the microbial sciences through core and elective coursework and in-depth research training opportunities in molecular, genetic, genomic, and ecological aspects of microbes, including free-living and plant-associated fungi, bacteria, and viruses.",agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
3,Agricultural Sciences - Poultry Science,Mississippi State University,The Ph.D. Agricultural Sciences - Poultry Science program from Mississippi State University requires a minimum of three academic years beyond the B.S. degree with the number of hours varying as determined by the student and major professor.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
4,Infectious Disease,Mississippi State University,The Infectious Disease graduate program from Mississippi State University provides advanced educational opportunities for students in a broad range of biomedical and veterinary sciences.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
5,Veterinary Medical Research,Mississippi State University,The Veterinary Medical Research graduate program from Mississippi State University provides advanced educational opportunities for students in a broad range of biomedical and veterinary sciences.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
6,"Wildlife, Fisheries and Aquaculture",Mississippi State University,"A Ph.D. degree is offered in Forest Resources with emphasis in Wildlife, Fisheries and Aquaculture at the Mississippi State University.",agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
7,Forest Resources,Mississippi State University,Graduate study is offered in the Department of Forestry leading to the degrees of Master of Science in forestry and Doctor of Philosophy in forest resources. The Forest Resources program is offered by Mississippi State University.,agriculture-forestry,8533.0, year,Starkville,,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
8,Forestry,Mississippi State University,Graduate study is offered in the Department of Forestry leading to the degrees of Master of Science (M.S.) in Forestry (Main Campus and Distance Campus) and Doctor of Philosophy (Ph.D.) in Forest Resources with a concentration in Forestry at Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
9,Animal Physiology,Mississippi State University,The graduate program in Animal Physiology is an interdisciplinary curriculum leading to a Master of Science in Agricultural Life Sciences with a concentration in Animal Physiology and/or Doctor of Philosophy degree in Life Sciences with a concentration in Animal Physiology at Mississippi State University.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
10,Agricultural and Extension Education,Mississippi State University,The minimum requirement for the Doctor of Philosophy (Ph.D.) Agricultural and Extension Education degree from Mississippi State University is the completion of 90 semester hours of graduate credit on an approved program of study above the bachelor’s degree.,agriculture-forestry,,,Starkville,3.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
11,Animal and Comparative Biomedical Science,The University of Arizona,The Animal and Comparative Biomedical Science program from The University of Arizona provides our students with an opportunity to perform research that spans from molecular biology and whole animal physiology to meat and dairy production to studies on the business of horse racing.,agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
12,Plant Science,The University of Arizona,"The Plant Science program from The University of Arizona provides broad training in the plant sciences through core and elective coursework and in-depth research training opportunities in molecular, cellular, genetic, genomic, and physiological aspects of plants, including model organisms, crops, and wild relatives.",agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
13,Horticulture,Mississippi State University,Graduate study offered in the Department of Plant and Soil Sciences leads to the Master of Science or the Doctor of Philosophy degree in Plant and Soil Sciences with a concentration in Horticulture at Mississippi State University.,agriculture-forestry,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"75,000",82.7,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
14,Natural Resources - Fisheries Conservation and Management,The University of Arizona,The study of the Natural Resources - Fisheries Conservation and Management program from The University of Arizona includes all the biological and physical processes of ecosystems - knowledge needed for sustainable use of rangelands as well as management of the diverse and complex systems that they support.,agriculture-forestry,31372.0, year,Tucson,5.0,Arizona,Pima,32.1541,-110.8787,"75,000",82.7,1400,32,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
