,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
0,1,university oxford,20665,11.2,41.0,46.0,95.4,90.5,99.6,98.4,65.5,96.4,"University Offices, Wellington Square, Oxford, Oxfordshire, OX1 2JD, United Kingdom",,,,,,United Kingdom, Oxford,51.7520131,-1.2578499
1,2,california institute technology caltech,2240,6.4,30.0,34.0,94.5,92.1,97.2,97.9,88.0,82.5,"1200 East California Boulevard, Pasadena, California, 91125, United States",,,,,,United States, Pasadena,34.1476452,-118.1444779
2,3,university cambridge,18980,10.9,37.0,47.0,94.4,91.4,98.7,95.8,59.3,95.0,"The Old Schools, Trinity Lane, Cambridge, Cambridgeshire, CB2 1TN, United Kingdom",,,,,,United Kingdom, Cambridge,52.2055314,0.1186637
3,4,stanford university,16135,7.3,23.0,43.0,94.3,92.8,96.4,99.9,66.2,79.5,"450 Jane Stanford Way, Stanford, California, United States",,,,,,United States, Stanford,37.4265407,-122.17030545534064
4,5,massachusetts institute technology,11247,8.6,34.0,39.0,93.6,90.5,92.4,99.5,86.9,89.0,"77 Massachusetts Avenue, Cambridge, Massachusetts, 02139-4307, United States",,,,,,United States, Cambridge,42.3750997,-71.1056157
5,6,princeton university,7983,8.1,25.0,45.0,93.2,90.3,96.3,98.8,58.6,81.1,"Princeton, New Jersey, 08544, United States",,,,,,United States,Princeton,40.3492744,-74.6592958
6,7,harvard university,20823,9.2,24.0,49.0,93.0,89.2,98.6,99.1,47.3,76.3,"Massachusetts Hall, Cambridge, Massachusetts, 02138, United States",,,,,,United States, Cambridge,42.3750997,-71.1056157
7,8,yale university,12402,5.4,20.0,50.0,91.7,92.0,94.8,97.3,52.4,68.7,"New Haven, Connecticut, 06520, United States",,,,,,United States,New Haven,41.3082138,-72.9250518
8,9,university chicago,13833,5.7,28.0,46.0,90.2,89.1,91.4,96.7,52.7,76.0,"Edward H. Levi Hall, 5801 South Ellis Avenue, Chicago, Illinois, 60637, United States",,,,,,United States, Chicago,41.8755616,-87.6244212
9,10,imperial college london,16760,11.6,56.0,38.0,89.8,84.5,87.6,97.0,69.9,97.1,"South Kensington Road, Kensington, London, SW7 2AZ, United Kingdom",,,,,,United Kingdom, Kensington,51.4989948,-0.1991229
10,11,university pennsylvania,20578,6.5,21.0,52.0,89.6,87.5,90.4,98.2,74.0,65.0,"3451 Walnut Street, Philadelphia, Philadelphia, Pennsylvania, 19104, United States",,,,,,United States, Philadelphia,39.9527237,-75.1635262
11,12,johns hopkins university,16171,4.5,26.0,52.0,89.2,81.7,91.4,98.3,91.3,73.2,"Baltimore, Maryland, 21218, United States",,,,,,United States,Baltimore,39.2908816,-76.610759
